         28152696 function calls (26952834 primitive calls) in 609.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      719    0.021    0.000    0.021    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      600    0.002    0.000    0.019    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/einops/_backends.py:263(add_axes)
     8400    0.006    0.000    0.019    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/re/__init__.py:163(match)
    54215    0.019    0.000    0.019    0.000 {built-in method _abc._abc_instancecheck}
    53615    0.014    0.000    0.019    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:304(items)
   214461    0.018    0.000    0.018    0.000 {method 'pop' of 'dict' objects}
       20    0.001    0.000    0.018    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:952(__init__)
    53617    0.018    0.000    0.018    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/enum.py:1095(__new__)
   154800    0.016    0.000    0.016    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/torch/_jit_internal.py:101(is_scripting)
      699    0.007    0.000    0.014    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:102(acquire)
   154800    0.013    0.000    0.013    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/hook_points.py:156(forward)
   107230    0.012    0.000    0.012    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_base.py:3942(_eventual_warn_about_too_long_sequence)
   108470    0.011    0.000    0.011    0.000 {built-in method builtins.id}
   108430    0.011    0.000    0.011    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformer_lens/utils.py:1003(override_or_use_default_value)
       20    0.006    0.000    0.011    0.001 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/utils.py:333(_screen_shape_linux)
    53615    0.011    0.000    0.011    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/transformers/tokenization_utils_fast.py:575(<listcomp>)
     1258    0.009    0.000    0.010    0.000 /Users/erikzeiner/anaconda3/envs/surprisal_internal_layers/lib/python3.11/site-packages/tqdm/std.py:400(format_interval)
